,station,net_traffic,pct_total,borough,gtfs_longitude,gtfs_latitude,geometry
233,northern_blvd,80241.0,0.001202967033836894,Q,-73.906006,40.752885,POINT (-73.906006 40.752885)
234,lackawanna,79922.0,0.001198184609841755,Bk,-73.911946,40.67834,POINT (-73.911946 40.67834)
235,west_farms_sq,79287.0,0.0011886647376257253,Bx,-73.880049,40.840295,POINT (-73.880049 40.840295)
236,174_175_sts,76861.0,0.0011522943281830674,Bx,-73.910136,40.8459,POINT (-73.910136 40.8459)
237,mosholu_pkwy,75807.0,0.0011364928394969334,Bx,-73.884655,40.87975,POINT (-73.884655 40.87975)
238,67_av,75575.0,0.001133014712955014,Q,-73.852719,40.726523,POINT (-73.852719 40.726523)
239,pelham_bay_park,75550.0,0.0011326399148362727,Bx,-73.828121,40.852462,POINT (-73.828121 40.852462)
240,new_lots,75532.0,0.0011323700601907787,Bk,-73.899232,40.658733,POINT (-73.899232 40.658733)
241,beverley_road,75464.0,0.0011313506093078025,Bk,-73.964492,40.644031,POINT (-73.964492 40.644031)
242,6_av,75342.0,0.0011295215944883447,M,-73.996786,40.737335,POINT (-73.996786 40.737335)
243,25_st,75157.0,0.001126748088409659,Bk,-73.998091,40.660397,POINT (-73.998091 40.660397)
244,75_st_elderts,74934.0,0.0011234048891904864,M,-73.981329,40.758663,POINT (-73.981329 40.758663)
245,104_st,73753.0,0.0011056994260611464,Q,-73.84433,40.695178,POINT (-73.84433 40.695178)
246,twenty_third_st,73742.0,0.0011055345148889002,Bk,-73.9502,40.656652,POINT (-73.9502 40.656652)
247,e_149_st,72789.0,0.001091247210602481,Bx,-73.904098,40.812118,POINT (-73.904098 40.812118)
248,simpson_st,72631.0,0.0010888784864920358,Bx,-73.893064,40.824073,POINT (-73.893064 40.824073)
249,forest_ave,72291.0,0.001083781232077154,Q,-73.903077,40.704423,POINT (-73.903077 40.704423)
250,18_st,72081.0,0.0010806329278797268,M,-73.997871,40.74104,POINT (-73.997871 40.74104)
251,lafayette_av,71659.0,0.0010743063356353734,Bk,-73.973946,40.686113,POINT (-73.973946 40.686113)
252,wakefield_241,71491.0,0.0010717876922774316,Bx,-73.85062,40.903125,POINT (-73.85062 40.903125)
253,kosciuszko_st,71219.0,0.0010677098887455262,Bk,-73.928814,40.693342,POINT (-73.928814 40.693342)
254,71_st,70763.0,0.0010608735710596845,Bk,-73.998864,40.619589,POINT (-73.998864 40.619589)
255,broad_st,69543.0,0.0010425834228651079,M,-74.011056,40.706476,POINT (-74.011056 40.706476)
256,cleveland_st,68981.0,0.0010341579611558031,Bk,-73.884639,40.679947,POINT (-73.884639 40.679947)
257,east_105_st,68815.0,0.0010316693016473608,Bk,-73.899485,40.650573,POINT (-73.899485 40.650573)
258,saratoga_av,68509.0,0.001027081772673967,Bk,-73.916327,40.661453,POINT (-73.916327 40.661453)
259,central_av,68206.0,0.001022539219474822,Bk,-73.927397,40.697857,POINT (-73.927397 40.697857)
260,carroll_st,68151.0,0.0010217146636135911,Bk,-73.995048,40.680303,POINT (-73.995048 40.680303)
261,norwood_av,67985.0,0.0010192260041051488,Bk,-73.880039,40.68141,POINT (-73.880039 40.68141)
262,176_st,67831.0,0.0010169172476937023,Bx,-73.911794,40.84848,POINT (-73.911794 40.84848)
263,231_st,67706.0,0.0010150432570999956,Bx,-73.904834,40.878856,POINT (-73.904834 40.878856)
264,183_st,67203.0,0.0010075023189509203,Bx,-73.903879,40.858407,POINT (-73.903879 40.858407)
265,74_st_broadway,67142.0,0.0010065878115411914,Q,-73.891394,40.746848,POINT (-73.891394 40.746848)
266,v.cortlandt_pk,67069.0,0.0010054934010344668,M,-74.011029,40.710668,POINT (-74.011029 40.710668)
267,80_st,66632.0,0.0009989419299188684,Q,-73.858992,40.679371,POINT (-73.858992 40.679371)
268,207_st,65515.0,0.0009821959499735063,M,-73.918822,40.864621,POINT (-73.918822 40.864621)
269,westchester_sq,65436.0,0.0009810115879182837,Bx,-73.842952,40.839892,POINT (-73.842952 40.839892)
270,85_st_forest_pk,64713.0,0.0009701724263242847,Q,-73.86001,40.692435,POINT (-73.86001 40.692435)
271,freeman_st,64344.0,0.0009646404060916628,Bx,-73.891865,40.829993,POINT (-73.891865 40.829993)
272,mt_eden_av,63726.0,0.0009553753965963773,Bx,-73.914685,40.844434,POINT (-73.914685 40.844434)
273,avenue_h,63192.0,0.0009473697087800627,Bk,-73.961639,40.62927,POINT (-73.961639 40.62927)
274,city_hall,62882.0,0.0009427222121076703,M,-74.006978,40.713282,POINT (-74.006978 40.713282)
275,st_lawrence_av,62616.0,0.0009387343601242626,Bx,-73.867618,40.831509,POINT (-73.867618 40.831509)
276,9th_street,60882.0,0.0009127383626083646,Bk,-73.988302,40.670847,POINT (-73.988302 40.670847)
277,livonia_av,60831.0,0.0009119737744461323,Bk,-73.900571,40.664038,POINT (-73.900571 40.664038)
278,park_place,60747.0,0.0009107144527671615,Bk,-73.957624,40.674772,POINT (-73.957624 40.674772)
279,van_siclen_ave,60715.0,0.0009102347111751726,Bk,-73.891688,40.678024,POINT (-73.891688 40.678024)
280,hunters_pt_av,60581.0,0.0009082257932587192,Q,-73.948916,40.742216,POINT (-73.948916 40.742216)
281,eastn_pkwy_musm,60165.0,0.0009019891525628636,Bk,-73.964375,40.671987,POINT (-73.964375 40.671987)
282,4_av_9_st,60161.0,0.0009019291848638649,M,-73.973347,40.764811,POINT (-73.973347 40.764811)
283,sterling_st,59955.0,0.0008988408483654364,Bk,-73.95085,40.662742,POINT (-73.95085 40.662742)
284,court_sq_23_st,59313.0,0.0008892160326761593,Bk,-73.991777,40.6941,POINT (-73.991777 40.6941)
